Sample,Type,Ethyl Acetate,Ethyl isobutyrate,Ethyl butanoate,Ethyl lactate,"2,4-Dimethyl-1-heptene","1-Pentanol, 3-methyl-",Ethyl 2-methylbutanoate,Ethyl 3-methylbutanoate,3-Hexen-1-ol*,Ethylbenzene,Xylene,1-Hexanol,Isoamyl Acetate,"2-Heptanone, 6-methyl-",1-Ethoxypropan-2-yl acetate,Unknown,3-(Methylthio)-1-propanol,"3(2H)-Thiophenone, dihydro-2-methyl-","Benzene, 1,3,5-trimethyl-",Ethyl hexanoate,Hexyl acetate,Limonene,2-Ethylhexanol,Benzyl alcohol,Beta-Ocimene,2-Nonanone,1-Octanol,4-Methyl Benzaldehyde,Terpinolene,2-Butoxyethyl acetate,ethyl 3-(methylthio)-propanoate,Cosmene,Nerol Oxide,Unknown,Linalool,Diethyl Succinate,Ethyl n-octanoate,Decanal,Nerol,Unknown,Unknown,Ethyl phenylacetate,2-Phenethyl acetate,Vitispirane,Geraniol,Ethyl nonanoate,Tridecane,"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",Ethyl decanoate,Unknown,ethyl-3-methylbutyl butanedioate,Isoamyl octanoate,Geranyl acetone,3-Ethyl-3-phenyl-1-pentene,Pentadecane,"2,4-Di-tert-butylphenol",Unknown,Dehydro-ar-himachalene,α-Calacorene,Ethyl dodecanoate,"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",α-Corocalene,Unknown,Unknown,Unknown,Heptadecane,Ethyl tetradecanoate,Nonadecane,Eicosane
V+B 0.5,VB,181003718.018761,2857882.66824567,10858065.705655,2758317.244748,900772.964348667,2074222.89691567,3829991.75244533,5279495.536833,194976.375027333,4386084.318932,23417711.5983083,37603223.995743,281004247.367026,5758349.78818767,8578090.02509367,2670394.76876267,1540550.79368967,1796047.30432567,11453472.561385,138169461.239622,5258631.20185867,1828837.86003367,718535.792841,1536180.52963933,13088.0338076667,3811419.696513,652485.463936,165742844.842763,67613.9762666667,90500339.2079807,3034111.98822133,45090.5310376667,371719.922302,84755.2730513333,33169.7256586667,227058830.458166,266135600.136722,125900.189538667,43833.1180026667,76098.922645,2483827.60081667,2260593.098545,143113560.17193,58519.6144963333,2440.174036,1030902.94486833,1583097.475124,2228214.75573767,159671525.976283,6363.68838333333,861153.38615,980645.629314667,229957.561993333,3857.224069,10477363.9566883,61098128.993765,272677.217177,27362.9466763333,46680.1157276667,2221109.714621,1128155.167623,2181.19195933333,61830.490409,261772.617277333,1000314.972566,38729287.4566833,2537115.153586,17511475.359069,31269349.4718577
V+B 1,VB,160745467.424622,2698131.07488433,10162106.251588,2899327.17447367,723479.289969333,2043424.93941633,3651906.988836,5126051.126192,191295.008053333,4313519.254767,23852117.6465177,38743967.484222,283864593.709771,6273942.02471733,8743861.46627,2880090.48427067,1992101.54682233,1871730.57624233,11773591.0569977,152333623.648794,6001071.28707667,900637.657967333,769569.304533333,1904226.911797,25545.9217213333,3978314.73863733,675931.823803334,214741457.82069,59121.1309363333,118885755.189559,3753222.419012,30658.4486753333,421758.110301333,120358.892666,43811.1557436667,315817877.27951,389957465.143516,95326.5784593333,65085.4155893333,124221.668789667,2484494.80808467,3157650.36232333,209464244.494352,119689.306514667,5252.87487066667,1388998.744061,1014044.17243367,2668207.04312433,260680414.782544,6924.47534166667,1179230.05262333,1562634.062083,261003.214707,3185.77089433333,3327154.990106,69441970.306431,359157.529952667,73568.897847,84829.3295856667,2402663.65058433,1041990.67786633,2645.24263133333,90850.2928513333,3826352.95058933,1360223.838198,9441906.98777867,3317645.896099,5241484.502809,10707767.164217
V+B 1.5,VB,207744947.782094,3374380.054659,13138323.8324613,4542863.676216,970232.608145333,3070637.709308,4439449.457802,6240479.66039633,305027.294065333,4550260.86372467,25896938.1993033,55707033.1995283,309245385.654204,7020543.322208,14111181.3205857,4310756.576486,3516340.45498967,2193810.40061267,11781273.7311563,171635142.50971,5745864.88745067,844103.160787333,1054134.87560233,3080633.30680367,64131.0673066667,4654945.29086333,921553.831443334,286573718.32654,187011.814427667,193588713.788092,6164919.430379,53124.4907893333,586731.579875333,139391.435226,229413.857680333,460618217.849987,492624057.574779,110859.779775333,93925.1043436667,283116.000482,4061008.14611133,4957944.61236933,314596971.13017,365718.186043333,10628.1457113333,1850037.99123867,1477730.299511,4235554.97748,242237322.46575,10008.2539863333,1726538.750481,1529499.38311033,390985.579655333,3790.65797766667,2205749.99005433,83743826.344937,606580.339661667,213082.855511,134548.217757333,1829788.78647133,1528991.89110367,5257.13501366667,65613.2591173333,4036150.521043,1521227.23791733,4042632.71975033,2327634.150002,2391154.67340867,4886302.32426
V+B 2,VB,222956924.023879,3742948.18409267,14431196.21412,4913671.12513167,934419.851507333,3564713.09200067,5186678.84787967,7268475.33554033,365650.582648,4369330.20988233,25039237.2677267,64733188.148861,336141709.694577,5889343.35409333,14559796.8549423,4654667.27495067,3570892.988679,2422414.66820733,10584485.2255687,200177935.531685,6572898.62930533,925839.626695333,1229455.84721067,3458256.48036067,122086.754969333,5152957.096141,1081776.63167933,322613968.707523,313440.847542667,225749923.697963,7639631.63011767,73267.8882493334,769896.23384,129328.399998667,401842.972602333,509193911.518588,591945704.43799,115406.825458667,116851.949259333,380314.487929667,5911871.16812133,6657612.46917833,403038659.908806,668864.197097333,20497.545054,2918500.50186633,1234904.50209267,4573126.81290433,311782700.450357,7433.72064833333,2184892.919142,2008229.266286,629770.896600667,6033.538349,2115223.629089,92900072.8625947,593699.148217,289580.462402,179792.337242333,2415291.31932933,1886827.17991033,4882.98844233333,86043.8690403333,3614057.97042,2260001.35536267,2757975.055854,2332519.15147833,1266462.74310433,2599434.256503
V Control,Control,278278173.556222,7848182.405998,27791827.091047,4394919.425673,820724.694905,3983321.769857,13784347.567213,19979899.859765,292990.159539,3933950.086924,26209777.883924,67250277.790608,770080696.769097,528162.141472,1029681.846442,1966461.256495,4543243.074113,2423442.0645,3491602.4177,1380565813.85671,94474485.048673,4035408.711305,1732909.041902,3681161.635603,236574.505125,885076.98769,1199038.512787,35592482.834166,856071.464035,18215423.465686,6721949.382185,152604.645143,2192320.814479,181264.578595,1537694.404277,792995379.243996,2890783422.09766,84138.727763,236804.001614,435992.538501,468121.04318,11711300.972831,654874294.710251,3121576.90245,75389.697098,4761054.477668,3798245.334765,90749.281367,1093487616.68914,9168.73331,4674237.30179,3892297.450341,434732.422225,4899.011601,3310474.062302,32885158.881759,1273.937171,13905.919577,42230.837491,142371052.021459,12865.877628,6915.294616,333251.517288,508801.084462,1291486.984823,2195898.246201,4732288.512415,714461.69746,1267512.42417
V+P 0.5,VP,212951180.733637,3276612.334953,14408484.9018253,6072569.9413835,793675.62721375,4557834.337578,4417509.79496175,6298500.49890875,508087.09270275,4088142.46357375,23446436.3158545,79266882.2381457,339004231.381123,7916787.9363035,21975704.665951,6605681.14524525,7358269.7364955,2840636.68007725,11193933.655505,226550092.533233,6522686.97417225,1250220.291526,3822035.9397095,6040955.89945575,269582.38265675,5596488.814006,1727139.6276365,386842640.918317,791290.4599005,246684523.376157,11394161.0534198,174477.137256,913862.98630925,323098.78764625,1265304.05606725,789497382.269789,898138573.203292,407903.25818125,214782.9546475,656696.20339375,9065303.46447725,8123028.59188225,529975104.33115,1570113.06490675,43780.47657875,16138976.125006,4899380.62713075,10466547.2210248,391319895.698959,401942.2045045,3501254.5022955,2712212.43151175,877212.21700125,14738.76496425,1944486.63571,138918479.461913,21371348.8923283,10273440.0756023,9852509.71957225,2378281.894231,9227112.61800925,749838.73878725,83666.06928625,2725701.504685,17686530.7575765,1868535.28890475,1969299.78248175,717553.59283025,1246174.67895275
V+P 1,VP,205046402.869728,3171012.34527933,13422432.9269757,5412026.11199433,834080.517561333,4618794.85179367,4119353.44522,5907652.80856933,519967.667455,4170672.56458833,23682914.260673,83648786.647812,319221158.718082,8423270.26361633,23633303.3713167,6710953.21532933,6018561.21185,2964450.88740533,10577059.709961,213638141.041634,5690696.19987367,1443862.582637,4935518.445444,4598386.42050533,344102.377311333,5553414.93464033,1727372.39901067,398928058.978771,1056894.65093933,245984952.108357,11137159.533634,173932.723371667,906397.286012,242010.124362667,1377880.821731,636672118.532802,888971711.506124,494799.029066,174123.313237,508190.478132,5614929.59427767,7080156.37542633,469308113.207936,1796054.70906933,47247.8428766667,16275689.5339047,3973172.332785,8037548.63271467,345855289.078956,471724.643868333,2653712.80163733,2386807.27369967,870496.956362333,15203.423906,1355722.53575067,135753125.46858,19574000.8850307,11364911.06647,12270128.6377373,1927184.647393,10910411.2991263,904727.947117,62069.547149,1024754.99677933,7214572.55153833,1049498.38255433,1653783.391628,293628.349966,502605.859582
V+P 1.5,VP,223857502.626027,3459737.34520133,14907620.805209,5285109.07122733,1059649.286207,4970425.078603,4812905.13889533,6898087.628293,568309.119386667,5454800.21537733,31203772.616552,87018455.1490923,354917782.323085,9934772.101336,25418781.786302,7277991.45564833,5544666.18029767,2943336.21032533,12863604.975826,254970558.477594,6806477.396687,1835746.06867833,6346735.20550267,4480152.17565333,433221.019617333,6293115.475053,1738241.73590767,431201471.430235,1513714.72004233,257325933.253294,11139821.5324157,214033.149594667,1005309.508448,207258.384523333,1947817.249171,634164330.817326,1063004214.36297,566175.109940333,176733.838354667,488837.741047,8074433.67879167,6902159.029562,457112931.78173,2371688.28612467,57902.5021523333,19178728.4812787,3865688.80894633,7261691.50275133,418595736.522062,501183.088140333,2495104.40652467,2998607.33311567,776861.412966667,24738.3318063333,1309045.27474267,150167773.516964,21969970.151257,12050597.8591673,12912816.8874707,1692210.899107,10391257.2436227,883455.621983333,81772.0602756667,582181.154949667,6912573.70571067,908568.710162667,1359420.29591333,228941.322422,296353.897787333
V+P 2,VP,240795036.803708,4076216.16621433,16240278.9747723,5263518.475996,1169891.544036,5375088.155711,5340729.476316,7659747.70320033,584631.277414,5894383.24367567,33729371.7435077,92998834.4438597,373200724.307462,11059387.3788317,27128650.7120593,7987987.06009,5706130.819474,3110777.93801,13752550.2744513,274904220.467215,6910676.25938767,2056357.89814467,7714993.92321,4350134.48903467,529340.704761,6577443.620849,1771513.942579,483729028.505056,1871522.932299,266373772.338764,11347688.369959,268849.002610667,1129382.67934833,260819.121104,2407678.461395,628386193.237813,1127346113.18237,639528.548363667,164977.509362,522328.257339333,6302656.13078667,7696983.25083533,486197526.348106,3124096.64283133,71448.1165423333,22630615.884715,4283675.77100467,8208761.255685,437265007.601394,647396.753360333,2696816.478181,3316680.73321267,903319.006629333,34334.1390793333,1925128.446004,175368890.703951,27080089.941515,14750691.4469463,16517032.3077733,1964391.72127333,11924066.7667853,1129450.23842967,81877.8689273334,609822.328124667,9527617.05655933,1324379.205093,1642103.81337533,312086.744612,353721.975886667
M+B 0.5,MB,165696734.372592,970023.954325667,28822839.106145,2078075.10329133,551240.723017,5857682.23902033,1019302.40307933,2097685.41215,2608270.24977833,3453563.35357867,17941483.542811,39666256.9665557,959259943.519415,8449933.78254934,13432574.4492107,3726120.25669533,673809.709323,2102742.20200533,9437568.957947,262901150.546086,11534359.2600967,5561114.62623833,1173473.327738,2884466.32676167,3542048.83475833,4496987.2008,854286.432676333,243214553.890135,1312147.06094067,120403207.267659,307980159.337791,525731.648972333,5364405.34195867,1704617.66225167,1165088.00643167,108999702.758527,923065799.091664,223360.759969,1936695.29263333,1464608.888366,1808382.57023133,1227589.75970367,365447019.308197,45546.3387673333,93505.7502063333,3834671.89390167,874776.939867667,3163221.63509967,256714415.013887,18106.293697,614336.788635667,4877710.056282,343379.005107333,10256.3593583333,778983.239680667,78378083.5437657,420552.022689333,42536.905858,68058.7925053333,3350394.650489,1202469.90430667,1107.136284,77878.9903843333,4811377.44165067,414199.76734,551817.274248667,2551393.282671,133553.584584333,121269.605554
