Tempo Extracao,Acido,Fibra,Ultra-sons,Sal,% de Organico,Tipo Organico,Volume Solvente,Tempo Retroextracao
60,Sim,PDMS,Sim,Sim,10%,Metanol,6mL,30
30,Sim,C18,Sim,Nao,10%,Acetonitrilo,6mL,10
30,Sim,PDMS,Nao,Nao,10%,Metanol,10mL,10
60,Sim,C18,Nao,Sim,10%,Acetonitrilo,10mL,30
30,Sim,PDMS,Sim,Sim,1%,Acetonitrilo,10mL,10
60,Sim,C18,Sim,Nao,1%,Metanol,10mL,30
60,Sim,PDMS,Nao,Nao,1%,Acetonitrilo,6mL,30
30,Sim,C18,Nao,Sim,1%,Metanol,6mL,10
60,Nao,C18,Nao,Nao,1%,Acetonitrilo,10mL,10
30,Nao,PDMS,Nao,Sim,1%,Metanol,10mL,30
30,Nao,C18,Sim,Sim,1%,Acetonitrilo,6mL,30
60,Nao,PDMS,Sim,Nao,1%,Metanol,6mL,10
30,Nao,C18,Nao,Nao,10%,Metanol,6mL,30
60,Nao,PDMS,Nao,Sim,10%,Acetonitrilo,6mL,10
60,Nao,C18,Sim,Sim,10%,Metanol,10mL,10
30,Nao,PDMS,Sim,Nao,10%,Acetonitrilo,10mL,30
